"","Sampleid","Tissue","TissueType","CatID","Sex","Location","bart","bartspp","ssrACt","ssrATm","ssrA","ssrAspp","ITSCt","ITS","ITSspp","mycoCt","mycoTm","myco","mycospp","rick","rickspp","AE","AEspp","haplotype","Clade","catbartspp","catrickspp","catmycospp","Weight"
"1","2EC","C. felis","Flea","LW-190309-02","Male","Washington, NC",0,"Negative","-","-",0,"","-",0,"","-","-",0,"",1,"R. asembonensis",1,"Wolbachia wCfeT","h6","Clade 4","Negative","Negative","Negative","2.13"
"2","27-1EC","C. felis","Flea","LW-190309-27","Female","Washington, NC",1,"B. henselae","33.94","81.5",1,"B. henselae","35.13",1,"B. henselae","-","-",0,"",1,"R. asembonensis",1,"Wolbachia wCfeT","h6","Clade 4","B. clarridgeiae","Negative","Negative","2.26"
"3","27-2EC","C. felis","Flea","LW-190309-27","Female","Washington, NC",1,"B. henselae","30.6","81",1,"B. henselae","32.04",1,"B. henselae","-","-",0,"",1,"R. asembonensis",1,"Wolbachia wCfeT","h6","Clade 4","B. clarridgeiae","Negative","Negative","2.26"
"4","27-3EC","C. felis","Flea","LW-190309-27","Female","Washington, NC",0,"Negative","-","-",0,"","-",0,"","-","-",0,"",1,"R. asembonensis",0,"Negative","h6","Clade 4","B. clarridgeiae","Negative","Negative","2.26"
"5","30EC","C. felis","Flea","LW-190309-30","Female","Washington, NC",1,"B. koehlerae","30.22","81",1,"B. koehlerae","31.45",1,"B. koehlerae","35.16","82.5",0,"Spiroplasma sp.",1,"R. asembonensis",0,"Negative","h6","Clade 4","Negative","Negative","Negative","2.65"
"6","39EC","C. felis","Flea","LW-190310-05","Male","Washington, NC",1,"B. clarridgeiae","28.31","82.5",1,"B. clarridgeiae","30.28",1,"B. clarridgeiae","-","-",0,"",1,"R. asembonensis",1,"Wolbachia wCfeT","h6","Clade 4","B. clarridgeiae","Negative","Negative","2.75"
"7","66EC","C. felis","Flea","LW-190316-07","Female","Washington, NC",1,"B. henselae","26.39","81.5",1,"B. henselae","30.67",1,"B. henselae","30.38","83",0,"",1,"R. asembonensis",1,"Wolbachia wCfeT","h6","Clade 4","Negative","Negative","Negative","2.66"
"8","72EC","C. felis","Flea","LW-190316-13","Female","Washington, NC",0,"Negative","-","-",0,"","-",0,"","-","-",0,"",1,"R. asembonensis",0,"Negative","h6","Clade 4","Negative","Negative","Negative","3"
"9","73EC","C. felis","Flea","LW-190316-14","Female","Washington, NC",0,"Negative","-","-",0,"","-",0,"","-","-",0,"",1,"R. asembonensis",0,"Negative","h6","Clade 4","Negative","Negative","Negative","2.73"
"10","75EC","C. felis","Flea","LW-190316-16","Male","Washington, NC",0,"Negative","-","-",0,"","-",0,"","-","-",0,"",1,"R. asembonensis",1,"Wolbachia wCfeT","h6","Clade 4","Negative","Negative","Negative","2.58"
"11","81EC","C. felis","Flea","LW-190316-22","Female","Washington, NC",1,"B. henselae","27.29","81.5",1,"B. henselae","30.76",1,"B. henselae","-","-",0,"",1,"R. asembonensis",1,"Wolbachia wCfeT","h6","Clade 4","Negative","Negative","Negative","2.21"
"12","86EC","C. felis","Flea","LW-190317-04","Male","Washington, NC",1,"B. clarridgeiae","26.32","82.5",1,"B. clarridgeiae","29.01",1,"B. clarridgeiae","-","-",0,"",1,"R. asembonensis",0,"Negative","h6","Clade 4","B. henselae","Negative","Negative","2.77"
"13","104-1EC","C. felis","Flea","LW-190317-22","Male","Washington, NC",0,"Negative","-","-",0,"","-",0,"","31.05","83",0,"Spiroplasma sp.",1,"R. asembonensis",0,"Negative","h6","Clade 4","Negative","Negative","M. haemominutum","4.5"
"14","104-2EC","C. felis","Flea","LW-190317-22","Male","Washington, NC",1,"B. clarridgeiae","37.42","83",1,"B. clarridgeiae","-",0,"","-","-",0,"",0,"Negative",1,"Wolbachia wCfeJ","h4","Clade 6","Negative","Negative","M. haemominutum","4.5"
"15","104-3EC","C. felis","Flea","LW-190317-22","Male","Washington, NC",0,"Negative","-","-",0,"","-",0,"","-","-",0,"",1,"R. asembonensis",1,"Wolbachia wCfeT","h6","Clade 4","Negative","Negative","M. haemominutum","4.5"
"16","139-1EC","C. felis","Flea","OCHS-PAH-321","Female","Orange, VA",1,"B. clarridgeiae","36.42","83",1,"B. clarridgeiae","-",0,"","-","-",0,"",0,"Negative",1,"Wolbachia wCfeF","h4","Clade 6","Negative","Negative","Negative","2.81"
"17","140-1EC","C. felis","Flea","OCHS-PAH-313","Female","Orange, VA",0,"Negative","-","-",0,"","-",0,"","-","-",0,"",1,"R. asembonensis",1,"Wolbachia wCfeT","h6","Clade 4","Negative","Negative","Negative","2.83"
"18","142-1EC","C. felis","Flea","OCHS-PAH-310","Male","Orange, VA",0,"Negative","-","-",0,"","-",0,"","-","-",0,"",1,"R. felis",1,"Wolbachia wCfeT","h10","Clade 1","Negative","Negative","M. haemominutum","5.36"
"19","146-1EC","C. felis","Flea","OCHS-PAH-302","Female","Orange, VA",0,"Negative","-","-",0,"","-",0,"","28.39","83",0,"Spiroplasma spp.",1,"R. asembonensis",1,"Wolbachia wCfeT","h6","Clade 4","Negative","Negative","Negative","2.9"
"20","146-2EC","C. felis","Flea","OCHS-PAH-302","Female","Orange, VA",0,"Negative","-","-",0,"","-",0,"","26.52","83",0,"",1,"R. asembonensis",1,"Wolbachia wCfeT","h6","Clade 4","Negative","Negative","Negative","2.9"
"21","146-3EC","C. felis","Flea","OCHS-PAH-302","Female","Orange, VA",0,"Negative","-","-",0,"","-",0,"","26.5","83",0,"",1,"R. felis",1,"Wolbachia wCfeT","h10","Clade 1","Negative","Negative","Negative","2.9"
"22","147-1EC","C. felis","Flea","OCHS-PAH-304","Male","Orange, VA",1,"B. clarridgeiae","17.66","83.5",1,"B. clarridgeiae","22.1",1,"B. clarridgeiae","29.15","83",0,"",1,"R. asembonensis",1,"Wolbachia wCfeT","h6","Clade 4","Negative","Negative","Negative","1.2"
"23","147-2EC","C. felis","Flea","OCHS-PAH-304","Male","Orange, VA",1,"B. clarridgeiae","25.21","83",1,"B. clarridgeiae","29.71",1,"B. clarridgeiae","39.01","83",0,"",1,"R. asembonensis",1,"Wolbachia wCfeT","h6","Clade 4","Negative","Negative","Negative","1.2"
"24","151-1EC","C. felis","Flea","OCHS-PAH-303","Female","Orange, VA",0,"Negative","-","-",0,"","-",0,"","-","-",0,"",1,"R. asembonensis",1,"Wolbachia wCfeT","h6","Clade 4","Negative","Negative","Negative","2.99"
"25","151-2EC","C. felis","Flea","OCHS-PAH-303","Female","Orange, VA",1,"B. henselae","35.78","82",1,"B. henselae","-",0,"","-","-",0,"",1,"R. asembonensis",0,"Negative","h6","Clade 4","Negative","Negative","Negative","2.99"
"26","151-3EC","C. felis","Flea","OCHS-PAH-303","Female","Orange, VA",0,"Negative","-","-",0,"","-",0,"","28.81","83",0,"",0,"Negative",1,"Wolbachia spp.","h4","Clade 6","Negative","Negative","Negative","2.99"
"27","151-4EC","C. felis","Flea","OCHS-PAH-303","Female","Orange, VA",0,"Negative","-","-",0,"","-",0,"","28.53","83",0,"",1,"R. asembonensis",1,"Wolbachia wCfeT","h6","Clade 4","Negative","Negative","Negative","2.99"
"28","164-1EC","C. felis","Flea","OCHS-PAH-332","Male","Orange, VA",1,"B. clarridgeiae","24.16","83",1,"B. clarridgeiae","27.32",1,"B. clarridgeiae","-","-",0,"",0,"Negative",1,"Wolbachia wCfeT","h10","Clade 1","Negative","Negative","Negative","3.46"
"29","164-2EC","C. felis","Flea","OCHS-PAH-332","Male","Orange, VA",0,"Negative","-","-",0,"","-",0,"","21.31","78",0,"Spiroplasma spp.",1,"R. felis",1,"Wolbachia wCfeT","h10","Clade 1","Negative","Negative","Negative","3.46"
